detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp
879353	23208	54319	40	7,68	1	2022-07-13 10:32:45.153
879354	23208	54319	40	8,12	1	2022-07-13 10:32:50.183
879355	23208	54319	40	8,13	1	2022-07-13 10:32:55.217
879356	23208	54319	40	8,08	1	2022-07-13 10:33:00.217
879357	23208	54319	40	8,03	0	2022-07-13 10:33:05.263
879358	23208	54319	40	7,99	0	2022-07-13 10:33:10.293
879359	23208	54319	40	7,95	0	2022-07-13 10:33:15.310
879360	23208	54319	40	8	1	2022-07-13 10:33:20.327
879361	23208	54319	40	7,99	1	2022-07-13 10:33:25.340
879362	23208	54319	40	8,16	1	2022-07-13 10:33:30.373
879363	23208	54319	40	7,63	1	2022-07-13 10:33:35.390
879364	23208	54319	40	4,9	1	2022-07-13 10:33:40.420
879365	23208	54319	40	4,77	1	2022-07-13 10:33:45.450
879366	23208	54319	40	4,77	1	2022-07-13 10:33:50.467
879367	23208	54319	41	5	1	2022-07-13 10:33:55.483
879368	23208	54319	41	7,21	1	2022-07-13 10:34:00.530
879369	23208	54319	40	7,71	1	2022-07-13 10:34:05.543
879370	23208	54319	41	7,85	1	2022-07-13 10:34:10.560
879371	23208	54319	40	7,82	1	2022-07-13 10:34:15.610
879372	23208	54319	40	7,83	0	2022-07-13 10:34:20.623
879373	23208	54319	40	7,84	1	2022-07-13 10:34:25.640
879374	23208	54319	40	7,85	1	2022-07-13 10:34:30.673
879375	23208	54319	40	7,86	1	2022-07-13 10:34:35.687
879376	23208	54319	40	7,67	1	2022-07-13 10:34:40.720
879377	23208	54319	40	5,62	1	2022-07-13 10:34:45.750
879378	23208	54319	40	5,15	1	2022-07-13 10:34:50.767
879379	23208	54319	40	4,75	1	2022-07-13 10:34:55.783
879380	23208	54319	40	5,23	1	2022-07-13 10:35:00.813
879381	23208	54319	40	7,85	1	2022-07-13 10:35:05.860
879382	23208	54319	40	7,9	1	2022-07-13 10:35:10.877
879383	23208	54319	40	7,86	1	2022-07-13 10:35:15.890
879384	23208	54319	40	7,83	1	2022-07-13 10:35:20.923
879385	23208	54319	41	7,85	0	2022-07-13 10:35:25.940
879386	23208	54319	41	7,85	1	2022-07-13 10:35:30.970
879387	23208	54319	40	7,74	1	2022-07-13 10:35:36.000
879388	23208	54319	41	7,84	1	2022-07-13 10:35:41.017
879389	23208	54319	41	6,59	1	2022-07-13 10:35:46.050
879390	23208	54319	41	4,75	1	2022-07-13 10:35:51.080
879391	23208	54319	40	4,76	1	2022-07-13 10:35:56.080
879392	23208	54319	41	4,91	1	2022-07-13 10:36:01.127
879393	23208	54319	41	5,69	1	2022-07-13 10:36:06.143
879394	23208	54319	40	5,52	1	2022-07-13 10:36:11.190
879395	23208	54319	40	5,53	1	2022-07-13 10:36:16.190
879396	23208	54319	40	5,56	1	2022-07-13 10:36:21.220
879397	23208	54319	41	5,58	0	2022-07-13 10:36:26.283
879398	23208	54319	40	5,59	0	2022-07-13 10:36:31.270
879399	23208	54319	41	5,56	0	2022-07-13 10:36:36.300
879400	23208	54319	41	5,54	0	2022-07-13 10:36:41.317
879401	23208	54319	41	5,53	0	2022-07-13 10:36:46.330
879402	23208	54319	40	5,55	0	2022-07-13 10:36:51.363
879403	23208	54319	40	5,56	0	2022-07-13 10:36:56.393
879404	23208	54319	41	5,54	0	2022-07-13 10:37:01.410
879405	23208	54319	40	5,49	1	2022-07-13 10:37:06.440
879406	23208	54319	40	5,53	0	2022-07-13 10:37:11.473
879407	23208	54319	41	5,54	0	2022-07-13 10:37:16.490
879408	23208	54319	40	5,58	1	2022-07-13 10:37:21.520
879409	23208	54319	40	5,56	1	2022-07-13 10:37:26.537
879410	23208	54319	41	5,59	0	2022-07-13 10:37:31.567
879411	23208	54319	41	5,52	1	2022-07-13 10:37:36.583
879412	23208	54319	41	5,54	0	2022-07-13 10:37:41.613
879413	23208	54319	40	5,53	0	2022-07-13 10:37:46.630
879414	23208	54319	40	5,53	0	2022-07-13 10:37:51.660
879415	23208	54319	41	5,54	0	2022-07-13 10:37:56.693
879416	23208	54319	40	5,54	0	2022-07-13 10:38:01.707
879417	23208	54319	41	5,53	0	2022-07-13 10:38:06.787
879418	23208	54319	40	5,61	0	2022-07-13 10:38:11.770
879419	23208	54319	41	5,49	1	2022-07-13 10:38:16.787
879420	23208	54319	40	5,58	0	2022-07-13 10:38:21.817
879421	23208	54319	41	5,54	0	2022-07-13 10:38:26.833
879422	23208	54319	40	5,53	0	2022-07-13 10:38:31.863
879423	23208	54319	40	5,57	0	2022-07-13 10:38:36.897
879424	23208	54319	41	5,54	0	2022-07-13 10:38:41.910
879425	23208	54319	41	5,54	0	2022-07-13 10:38:46.943
879426	23208	54319	40	5,5	0	2022-07-13 10:38:51.960
879427	23208	54319	41	5,56	1	2022-07-13 10:38:56.973
879428	23208	54319	40	5,59	0	2022-07-13 10:39:02.007
879429	23208	54319	41	5,61	0	2022-07-13 10:39:07.037
879430	23208	54319	40	5,58	0	2022-07-13 10:39:12.070
879431	23208	54319	40	5,51	0	2022-07-13 10:39:17.100
879432	23208	54319	40	5,55	0	2022-07-13 10:39:22.117
