detection_id	reader_uwb_id	tag_id	tag_temperature	distance	tag_motion	insert_timestamp	date	time
879245	23208	54319	40	5,56	1	2022-07-13 10:23:42.470	2022-07-13	10:23:42
879246	23208	54319	40	5,53	1	2022-07-13 10:23:47.470	2022-07-13	10:23:47
879247	23208	54319	40	5,54	0	2022-07-13 10:23:52.517	2022-07-13	10:23:52
879248	23208	54319	40	5,58	0	2022-07-13 10:23:57.530	2022-07-13	10:23:57
879249	23208	54319	40	5,56	0	2022-07-13 10:24:02.563	2022-07-13	10:24:02
879250	23208	54319	40	5,54	0	2022-07-13 10:24:07.580	2022-07-13	10:24:07
879251	23208	54319	40	5,56	0	2022-07-13 10:24:12.610	2022-07-13	10:24:12
879252	23208	54319	40	5,53	1	2022-07-13 10:24:17.640	2022-07-13	10:24:17
879253	23208	54319	40	5,55	0	2022-07-13 10:24:22.657	2022-07-13	10:24:22
879254	23208	54319	40	5,58	0	2022-07-13 10:24:27.673	2022-07-13	10:24:27
879255	23208	54319	40	5,57	1	2022-07-13 10:24:32.703	2022-07-13	10:24:32
879256	23208	54319	39	5,6	1	2022-07-13 10:24:37.737	2022-07-13	10:24:37
879257	23208	54319	40	5,64	1	2022-07-13 10:24:42.767	2022-07-13	10:24:42
879258	23208	54319	40	5,56	0	2022-07-13 10:24:47.767	2022-07-13	10:24:47
879259	23208	54319	39	5,49	0	2022-07-13 10:24:52.800	2022-07-13	10:24:52
879260	23208	54319	40	5,56	0	2022-07-13 10:24:57.830	2022-07-13	10:24:57
879261	23208	54319	40	5,55	1	2022-07-13 10:25:02.860	2022-07-13	10:25:02
879262	23208	54319	40	5,52	1	2022-07-13 10:25:08.000	2022-07-13	10:25:08
879263	23208	54319	40	5,6	0	2022-07-13 10:25:12.910	2022-07-13	10:25:12
879264	23208	54319	40	5,76	1	2022-07-13 10:25:17.923	2022-07-13	10:25:17
879265	23208	54319	40	8,69	1	2022-07-13 10:25:22.957	2022-07-13	10:25:22
879266	23208	54319	40	11,04	1	2022-07-13 10:25:27.970	2022-07-13	10:25:27
879267	23208	54319	40	11,07	0	2022-07-13 10:25:33.020	2022-07-13	10:25:33
879268	23208	54319	40	11,01	0	2022-07-13 10:25:38.033	2022-07-13	10:25:38
879269	23208	54319	40	10,97	0	2022-07-13 10:25:43.050	2022-07-13	10:25:43
879270	23208	54319	39	11,01	0	2022-07-13 10:25:48.080	2022-07-13	10:25:48
879271	23208	54319	40	10,98	0	2022-07-13 10:25:53.097	2022-07-13	10:25:53
879272	23208	54319	40	10,96	0	2022-07-13 10:25:58.130	2022-07-13	10:25:58
879273	23208	54319	40	10,96	1	2022-07-13 10:26:03.143	2022-07-13	10:26:03
879274	23208	54319	40	10,99	0	2022-07-13 10:26:08.177	2022-07-13	10:26:08
879275	23208	54319	40	10,89	1	2022-07-13 10:26:13.207	2022-07-13	10:26:13
879276	23208	54319	40	8,51	0	2022-07-13 10:26:18.223	2022-07-13	10:26:18
879277	23208	54319	40	5,55	1	2022-07-13 10:26:23.253	2022-07-13	10:26:23
879278	23208	54319	40	4,96	1	2022-07-13 10:26:28.283	2022-07-13	10:26:28
879279	23208	54319	40	4,97	1	2022-07-13 10:26:33.300	2022-07-13	10:26:33
879280	23208	54319	40	4,99	1	2022-07-13 10:26:38.333	2022-07-13	10:26:38
879281	23208	54319	40	4,9	1	2022-07-13 10:26:43.347	2022-07-13	10:26:43
879282	23208	54319	40	6,56	1	2022-07-13 10:26:48.380	2022-07-13	10:26:48
879283	23208	54319	40	9,72	1	2022-07-13 10:26:53.410	2022-07-13	10:26:53
879284	23208	54319	40	10,65	1	2022-07-13 10:26:58.473	2022-07-13	10:26:58
879285	23208	54319	40	10,91	0	2022-07-13 10:27:03.457	2022-07-13	10:27:03
879286	23208	54319	40	10,97	1	2022-07-13 10:27:08.473	2022-07-13	10:27:08
879287	23208	54319	40	10,91	1	2022-07-13 10:27:13.520	2022-07-13	10:27:13
879288	23208	54319	40	10,94	0	2022-07-13 10:27:18.537	2022-07-13	10:27:18
879289	23208	54319	40	10,88	0	2022-07-13 10:27:23.550	2022-07-13	10:27:23
879290	23208	54319	40	10,91	0	2022-07-13 10:27:28.583	2022-07-13	10:27:28
879291	23208	54319	40	10,91	0	2022-07-13 10:27:33.613	2022-07-13	10:27:33
879292	23208	54319	40	11,01	1	2022-07-13 10:27:38.630	2022-07-13	10:27:38
879293	23208	54319	40	10,92	0	2022-07-13 10:27:43.647	2022-07-13	10:27:43
879294	23208	54319	40	9,19	1	2022-07-13 10:27:48.677	2022-07-13	10:27:48
879295	23208	54319	40	7,43	1	2022-07-13 10:27:53.710	2022-07-13	10:27:53
879296	23208	54319	40	5	1	2022-07-13 10:27:58.723	2022-07-13	10:27:58
879297	23208	54319	40	4,1	1	2022-07-13 10:28:03.740	2022-07-13	10:28:03
879298	23208	54319	40	5	1	2022-07-13 10:28:08.770	2022-07-13	10:28:08
879299	23208	54319	39	4,98	1	2022-07-13 10:28:13.803	2022-07-13	10:28:13
879300	23208	54319	40	5,28	1	2022-07-13 10:28:18.833	2022-07-13	10:28:18
879301	23208	54319	39	5,59	1	2022-07-13 10:28:23.850	2022-07-13	10:28:23
879302	23208	54319	40	5,46	1	2022-07-13 10:28:28.880	2022-07-13	10:28:28
879303	23208	54319	40	5,46	0	2022-07-13 10:28:33.897	2022-07-13	10:28:33
879304	23208	54319	40	5,58	1	2022-07-13 10:28:38.930	2022-07-13	10:28:38
879305	23208	54319	40	5,5	1	2022-07-13 10:28:43.960	2022-07-13	10:28:43
879306	23208	54319	40	5,54	0	2022-07-13 10:28:48.990	2022-07-13	10:28:48
879307	23208	54319	40	5,52	0	2022-07-13 10:28:54.007	2022-07-13	10:28:54
879308	23208	54319	40	5,5	0	2022-07-13 10:28:59.040	2022-07-13	10:28:59
879309	23208	54319	40	5,45	1	2022-07-13 10:29:04.070	2022-07-13	10:29:04
879310	23208	54319	40	5,55	0	2022-07-13 10:29:09.070	2022-07-13	10:29:09
879311	23208	54319	40	5,51	0	2022-07-13 10:29:14.133	2022-07-13	10:29:14
879312	23208	54319	40	5,5	1	2022-07-13 10:29:19.133	2022-07-13	10:29:19
879313	23208	54319	40	5,57	1	2022-07-13 10:29:24.180	2022-07-13	10:29:24
879314	23208	54319	40	5,49	1	2022-07-13 10:29:29.197	2022-07-13	10:29:29
879315	23208	54319	40	5,49	0	2022-07-13 10:29:34.210	2022-07-13	10:29:34
879316	23208	54319	40	5,54	0	2022-07-13 10:29:39.273	2022-07-13	10:29:39
879317	23208	54319	39	5,55	0	2022-07-13 10:29:44.243	2022-07-13	10:29:44
879318	23208	54319	40	5,53	0	2022-07-13 10:29:49.273	2022-07-13	10:29:49
879319	23208	54319	40	5,54	0	2022-07-13 10:29:54.307	2022-07-13	10:29:54
879320	23208	54319	40	5,54	0	2022-07-13 10:29:59.320	2022-07-13	10:29:59
879321	23208	54319	39	5,53	1	2022-07-13 10:30:04.370	2022-07-13	10:30:04
879322	23208	54319	40	5,5	0	2022-07-13 10:30:09.383	2022-07-13	10:30:09
879323	23208	54319	40	5,45	0	2022-07-13 10:30:14.400	2022-07-13	10:30:14
879324	23208	54319	41	5,46	0	2022-07-13 10:30:19.413	2022-07-13	10:30:19
879325	23208	54319	40	5,5	0	2022-07-13 10:30:24.447	2022-07-13	10:30:24
879326	23208	54319	40	5,5	0	2022-07-13 10:30:29.463	2022-07-13	10:30:29
879327	23208	54319	39	5,53	0	2022-07-13 10:30:34.493	2022-07-13	10:30:34
879328	23208	54319	40	5,43	0	2022-07-13 10:30:39.523	2022-07-13	10:30:39
879329	23208	54319	40	5,45	0	2022-07-13 10:30:44.557	2022-07-13	10:30:44
879330	23208	54319	40	5,48	0	2022-07-13 10:30:49.570	2022-07-13	10:30:49
879331	23208	54319	40	5,52	0	2022-07-13 10:30:54.603	2022-07-13	10:30:54
879332	23208	54319	40	5,45	0	2022-07-13 10:30:59.633	2022-07-13	10:30:59
879333	23208	54319	40	5,46	0	2022-07-13 10:31:04.650	2022-07-13	10:31:04
879334	23208	54319	41	5,46	0	2022-07-13 10:31:09.667	2022-07-13	10:31:09
879335	23208	54319	40	5,43	0	2022-07-13 10:31:14.697	2022-07-13	10:31:14
879336	23208	54319	40	5,55	0	2022-07-13 10:31:19.730	2022-07-13	10:31:19
879337	23208	54319	40	5,52	0	2022-07-13 10:31:24.743	2022-07-13	10:31:24
879338	23208	54319	40	5,45	0	2022-07-13 10:31:29.777	2022-07-13	10:31:29
879339	23208	54319	40	5,48	0	2022-07-13 10:31:34.807	2022-07-13	10:31:34
879340	23208	54319	40	5,5	0	2022-07-13 10:31:39.823	2022-07-13	10:31:39
879341	23208	54319	41	5,52	0	2022-07-13 10:31:44.853	2022-07-13	10:31:44
879342	23208	54319	39	5,47	0	2022-07-13 10:31:49.870	2022-07-13	10:31:49
879343	23208	54319	40	5,53	0	2022-07-13 10:31:54.887	2022-07-13	10:31:54
879344	23208	54319	40	5,49	0	2022-07-13 10:31:59.917	2022-07-13	10:31:59
879345	23208	54319	40	5,52	0	2022-07-13 10:32:04.963	2022-07-13	10:32:04
879346	23208	54319	40	5,51	0	2022-07-13 10:32:09.963	2022-07-13	10:32:09
879347	23208	54319	40	5,45	0	2022-07-13 10:32:15.010	2022-07-13	10:32:15
879348	23208	54319	41	5,53	0	2022-07-13 10:32:20.027	2022-07-13	10:32:20
879349	23208	54319	41	5,52	0	2022-07-13 10:32:25.043	2022-07-13	10:32:25
879350	23208	54319	40	5,55	0	2022-07-13 10:32:30.073	2022-07-13	10:32:30
879351	23208	54319	40	5,43	1	2022-07-13 10:32:35.090	2022-07-13	10:32:35
879352	23208	54319	40	6,84	1	2022-07-13 10:32:40.120	2022-07-13	10:32:40
879353	23208	54319	40	7,68	1	2022-07-13 10:32:45.153	2022-07-13	10:32:45
879354	23208	54319	40	8,12	1	2022-07-13 10:32:50.183	2022-07-13	10:32:50
879355	23208	54319	40	8,13	1	2022-07-13 10:32:55.217	2022-07-13	10:32:55
879356	23208	54319	40	8,08	1	2022-07-13 10:33:00.217	2022-07-13	10:33:00
879357	23208	54319	40	8,03	0	2022-07-13 10:33:05.263	2022-07-13	10:33:05
879358	23208	54319	40	7,99	0	2022-07-13 10:33:10.293	2022-07-13	10:33:10
879359	23208	54319	40	7,95	0	2022-07-13 10:33:15.310	2022-07-13	10:33:15
879360	23208	54319	40	8	1	2022-07-13 10:33:20.327	2022-07-13	10:33:20
879361	23208	54319	40	7,99	1	2022-07-13 10:33:25.340	2022-07-13	10:33:25
879362	23208	54319	40	8,16	1	2022-07-13 10:33:30.373	2022-07-13	10:33:30
879363	23208	54319	40	7,63	1	2022-07-13 10:33:35.390	2022-07-13	10:33:35
879364	23208	54319	40	4,9	1	2022-07-13 10:33:40.420	2022-07-13	10:33:40
879365	23208	54319	40	4,77	1	2022-07-13 10:33:45.450	2022-07-13	10:33:45
879366	23208	54319	40	4,77	1	2022-07-13 10:33:50.467	2022-07-13	10:33:50
879367	23208	54319	41	5	1	2022-07-13 10:33:55.483	2022-07-13	10:33:55
879368	23208	54319	41	7,21	1	2022-07-13 10:34:00.530	2022-07-13	10:34:00
879369	23208	54319	40	7,71	1	2022-07-13 10:34:05.543	2022-07-13	10:34:05
879370	23208	54319	41	7,85	1	2022-07-13 10:34:10.560	2022-07-13	10:34:10
879371	23208	54319	40	7,82	1	2022-07-13 10:34:15.610	2022-07-13	10:34:15
879372	23208	54319	40	7,83	0	2022-07-13 10:34:20.623	2022-07-13	10:34:20
879373	23208	54319	40	7,84	1	2022-07-13 10:34:25.640	2022-07-13	10:34:25
879374	23208	54319	40	7,85	1	2022-07-13 10:34:30.673	2022-07-13	10:34:30
879375	23208	54319	40	7,86	1	2022-07-13 10:34:35.687	2022-07-13	10:34:35
879376	23208	54319	40	7,67	1	2022-07-13 10:34:40.720	2022-07-13	10:34:40
879377	23208	54319	40	5,62	1	2022-07-13 10:34:45.750	2022-07-13	10:34:45
879378	23208	54319	40	5,15	1	2022-07-13 10:34:50.767	2022-07-13	10:34:50
879379	23208	54319	40	4,75	1	2022-07-13 10:34:55.783	2022-07-13	10:34:55
879380	23208	54319	40	5,23	1	2022-07-13 10:35:00.813	2022-07-13	10:35:00
879381	23208	54319	40	7,85	1	2022-07-13 10:35:05.860	2022-07-13	10:35:05
879382	23208	54319	40	7,9	1	2022-07-13 10:35:10.877	2022-07-13	10:35:10
879383	23208	54319	40	7,86	1	2022-07-13 10:35:15.890	2022-07-13	10:35:15
879384	23208	54319	40	7,83	1	2022-07-13 10:35:20.923	2022-07-13	10:35:20
879385	23208	54319	41	7,85	0	2022-07-13 10:35:25.940	2022-07-13	10:35:25
879386	23208	54319	41	7,85	1	2022-07-13 10:35:30.970	2022-07-13	10:35:30
879387	23208	54319	40	7,74	1	2022-07-13 10:35:36.000	2022-07-13	10:35:36
879388	23208	54319	41	7,84	1	2022-07-13 10:35:41.017	2022-07-13	10:35:41
879389	23208	54319	41	6,59	1	2022-07-13 10:35:46.050	2022-07-13	10:35:46
879390	23208	54319	41	4,75	1	2022-07-13 10:35:51.080	2022-07-13	10:35:51
879391	23208	54319	40	4,76	1	2022-07-13 10:35:56.080	2022-07-13	10:35:56
879392	23208	54319	41	4,91	1	2022-07-13 10:36:01.127	2022-07-13	10:36:01
879393	23208	54319	41	5,69	1	2022-07-13 10:36:06.143	2022-07-13	10:36:06
879394	23208	54319	40	5,52	1	2022-07-13 10:36:11.190	2022-07-13	10:36:11
879395	23208	54319	40	5,53	1	2022-07-13 10:36:16.190	2022-07-13	10:36:16
879396	23208	54319	40	5,56	1	2022-07-13 10:36:21.220	2022-07-13	10:36:21
879397	23208	54319	41	5,58	0	2022-07-13 10:36:26.283	2022-07-13	10:36:26
879398	23208	54319	40	5,59	0	2022-07-13 10:36:31.270	2022-07-13	10:36:31
879399	23208	54319	41	5,56	0	2022-07-13 10:36:36.300	2022-07-13	10:36:36
879400	23208	54319	41	5,54	0	2022-07-13 10:36:41.317	2022-07-13	10:36:41
879401	23208	54319	41	5,53	0	2022-07-13 10:36:46.330	2022-07-13	10:36:46
879402	23208	54319	40	5,55	0	2022-07-13 10:36:51.363	2022-07-13	10:36:51
879403	23208	54319	40	5,56	0	2022-07-13 10:36:56.393	2022-07-13	10:36:56
879404	23208	54319	41	5,54	0	2022-07-13 10:37:01.410	2022-07-13	10:37:01
879405	23208	54319	40	5,49	1	2022-07-13 10:37:06.440	2022-07-13	10:37:06
879406	23208	54319	40	5,53	0	2022-07-13 10:37:11.473	2022-07-13	10:37:11
879407	23208	54319	41	5,54	0	2022-07-13 10:37:16.490	2022-07-13	10:37:16
879408	23208	54319	40	5,58	1	2022-07-13 10:37:21.520	2022-07-13	10:37:21
879409	23208	54319	40	5,56	1	2022-07-13 10:37:26.537	2022-07-13	10:37:26
879410	23208	54319	41	5,59	0	2022-07-13 10:37:31.567	2022-07-13	10:37:31
879411	23208	54319	41	5,52	1	2022-07-13 10:37:36.583	2022-07-13	10:37:36
879412	23208	54319	41	5,54	0	2022-07-13 10:37:41.613	2022-07-13	10:37:41
879413	23208	54319	40	5,53	0	2022-07-13 10:37:46.630	2022-07-13	10:37:46
879414	23208	54319	40	5,53	0	2022-07-13 10:37:51.660	2022-07-13	10:37:51
879415	23208	54319	41	5,54	0	2022-07-13 10:37:56.693	2022-07-13	10:37:56
879416	23208	54319	40	5,54	0	2022-07-13 10:38:01.707	2022-07-13	10:38:01
879417	23208	54319	41	5,53	0	2022-07-13 10:38:06.787	2022-07-13	10:38:06
879418	23208	54319	40	5,61	0	2022-07-13 10:38:11.770	2022-07-13	10:38:11
879419	23208	54319	41	5,49	1	2022-07-13 10:38:16.787	2022-07-13	10:38:16
879420	23208	54319	40	5,58	0	2022-07-13 10:38:21.817	2022-07-13	10:38:21
879421	23208	54319	41	5,54	0	2022-07-13 10:38:26.833	2022-07-13	10:38:26
879422	23208	54319	40	5,53	0	2022-07-13 10:38:31.863	2022-07-13	10:38:31
